央视卫视,#genre#
CCTV1,https://tvpull.careryun.com/tv/cctv1.m3u8
CCTV2,https://tvpull.careryun.com/tv/cctv2.m3u8
CCTV3,https://tvpull.careryun.com/tv/cctv3.m3u8
CCTV4,https://tvpull.careryun.com/tv/cctv4.m3u8
CCTV5,https://tvpull.careryun.com/tv/cctv5.m3u8
CCTV5+,https://tvpull.careryun.com/tv/cctv5+.m3u8
CCTV6,https://tvpull.careryun.com/tv/cctv6.m3u8
CCTV7,https://tvpull.careryun.com/tv/cctv7.m3u8
CCTV8,https://tvpull.careryun.com/tv/cctv8.m3u8
CCTV9,https://tvpull.careryun.com/tv/cctv9.m3u8
CCTV10,https://tvpull.careryun.com/tv/cctv10.m3u8
CCTV11,https://tvpull.careryun.com/tv/cctv11.m3u8
CCTV12,https://tvpull.careryun.com/tv/cctv12.m3u8
CCTV13,https://tvpull.careryun.com/tv/cctv13.m3u8
CCTV14,https://tvpull.careryun.com/tv/cctv14.m3u8
CCTV15,https://tvpull.careryun.com/tv/cctv15.m3u8
CCTV17,https://tvpull.careryun.com/tv/cctv17.m3u8
CCTV4美洲,https://tvpull.careryun.com/tv/cctv4m.m3u8
CCTV4欧洲,https://tvpull.careryun.com/tv/cctv4o.m3u8
CHC家庭影院,http://z.b.bkpcp.top/m.php?id=jtyy
CHC动作电影,http://z.b.bkpcp.top/m.php?id=dzdy
省市卫视,#genre#
北京卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/bjws-hd/1.m3u8?innersid=18360129623627541611
东方卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/shdfws-hd/2500.m3u8?innersid=6998114529464369318
东南卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/fjws-hd/2500.m3u8?innersid=10943554111088989087
广东卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/gdws-hd/2500.m3u8?innersid=2310031483208039305
黑龙江卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/hljws-hd/2500.m3u8?innersid=3559146512286674480
湖南卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/hnws-hd/2500.m3u8?innersid=11355377224826061225
吉林卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/jlws-hd/2500.m3u8?innersid=11095614579634751142
吉林卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/jlws-hd/2500.m3u8?innersid=2816365878468795314
吉林卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/jxws-hd/2500.m3u8?innersid=14570431181364255736
江苏卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/jsws-hd/2500.m3u8?innersid=14912719076157451667
江西卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/jxws-hd/2500.m3u8?innersid=14570431181364255736
辽宁卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/lnws-hd/2500.m3u8?innersid=6324592032119595697
山东卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/sdws-hd/2500.m3u8?innersid=3721212644869031100
深圳卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/szws-hd/2500.m3u8?innersid=15000776628606995758
四川卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/scws-hd/2500.m3u8?innersid=17534924581903335933
云南卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/ynws-hd/2500.m3u8?innersid=15000776628606995758
